,rat_id,study_day,condition,treatment,trial_num,rem_start,rem_end,event_strings
0,5,8,HC,0,3,1331,1485,TPTPTPT
1,5,8,HC,0,3,2428,2475,TPT
2,5,8,HC,0,2,411,496,TPTPTPTPT
3,5,8,HC,0,2,1564,1620,TPTPTPT
4,5,8,HC,0,2,1625,1709,TPT
5,5,8,HC,0,2,2480,2653,TPTPT
6,5,8,HC,0,4,657,711,T
7,5,8,HC,0,4,736,804,TPTPT
8,5,8,HC,0,4,821,860,TPT
9,5,8,HC,0,4,1669,1783,TPTPTPT
10,5,8,HC,0,4,1873,1914,T
11,5,8,HC,0,5,708,820,TPTPTPT
12,5,8,HC,0,5,850,888,T
13,5,8,HC,0,5,1267,1314,T
14,5,8,HC,0,5,1753,1904,TPT
15,5,8,HC,0,5,1943,2076,TPTPT
16,5,8,HC,0,5,5464,5537,TPT
17,5,8,HC,0,5,5635,5661,T
18,5,8,HC,0,5,6188,6253,T
19,5,8,HC,0,5,6858,6901,TPT
20,5,8,HC,0,5,6942,6979,TPT
21,5,8,HC,0,5,7635,7675,T
22,5,8,HC,0,5,8915,9013,TPTPTPTPTPTP
23,5,16,OR,1,5,1246,1376,TPTPTPTPT
24,5,16,OR,1,5,2388,2510,TPTPTPTPTPT
25,5,16,OR,1,5,3247,3330,TPTPT
26,5,16,OR,1,5,4002,4173,T
27,5,16,OR,1,5,7138,7256,TPT
28,5,16,OR,1,5,9500,9575,TPTPTPT
29,5,16,OR,1,5,10137,10201,TPTPTPT
30,5,16,OR,1,5,10846,10937,PTPTPTPTPTPT
31,5,16,OR,1,4,1134,1224,TPTPTPT
32,5,2,OR,0,4,1855,1899,TPTPT
33,5,2,OR,0,4,1977,2053,T
34,5,2,OR,0,2,1659,1759,TPTPTPT
35,5,2,OR,0,2,2357,2384,T
36,5,2,OR,0,5,1043,1185,TPTPT
37,5,2,OR,0,5,2141,2199,TPTPT
38,5,2,OR,0,5,2608,2794,TPTPT
39,5,2,OR,0,3,1381,1413,TPTPTPT
40,5,2,OR,0,3,1671,1790,TPT
41,5,2,OR,0,3,1839,1876,T
42,5,2,OR,0,1,2203,2292,TPT
43,5,1,OR,1,5,1527,1646,TPTPTPTPT
44,5,1,OR,1,5,2197,2219,PTPT
45,5,1,OR,1,5,2358,2399,T
46,5,1,OR,1,5,2795,2809,T
47,5,1,OR,1,5,2871,2989,TPT
48,5,1,OR,1,3,1890,1902,T
49,5,1,OR,1,3,1905,1961,TPTPTPT
50,5,1,OR,1,4,780,902,TPTPT
51,5,1,OR,1,4,1551,1563,T
52,5,1,OR,1,4,1786,1831,TP
53,5,1,OR,1,4,1836,1901,TPTPTPT
54,5,3,OD,0,4,1006,1113,TPTPTPT
55,5,3,OD,0,4,1735,1757,T
56,5,3,OD,0,4,1787,1855,TPTPTPT
57,5,3,OD,0,3,995,1107,TPTPT
58,5,3,OD,0,5,1866,1943,TPTPT
59,5,14,OR,0,5,1517,1588,TPTPTPT
60,5,14,OR,0,4,1168,1293,TPT
61,5,14,OR,0,4,1932,2002,T
62,5,14,OR,0,4,2645,2699,TPTPTPTPTP
63,5,14,OR,0,2,1517,1616,TPTPTPT
64,5,14,OR,0,3,1420,1504,TPT
65,5,14,OR,0,3,2084,2200,TPTPTPT
66,5,4,HC,0,2,1171,1212,T
67,5,4,HC,0,2,1260,1370,TPTPT
68,5,4,HC,0,2,2892,2924,PTPT
69,5,4,HC,0,5,1419,1484,TPTPTPT
70,5,4,HC,0,5,1506,1592,TPT
71,5,4,HC,0,5,1634,1664,T
72,5,4,HC,0,5,2307,2331,T
73,5,4,HC,0,5,2414,2628,T
74,5,4,HC,0,5,3293,3466,TPTPTPTPTPTPTPTPT
75,5,4,HC,0,5,3513,3600,TPTPT
76,5,4,HC,0,5,4791,4874,TPT
77,5,4,HC,0,5,4896,5002,TPT
78,5,4,HC,0,5,6810,6929,PTPTPTPTPTPT
79,5,4,HC,0,5,7264,7273,T
80,5,4,HC,0,5,7544,7559,T
81,5,4,HC,0,5,7620,7664,T
82,5,4,HC,0,5,7781,7822,PT
83,5,4,HC,0,5,8168,8256,T
84,5,4,HC,0,5,10662,10718,PTPTPT
85,5,4,HC,0,4,644,745,TPTPTPT
86,5,4,HC,0,4,1568,1598,T
87,5,4,HC,0,4,1616,1710,TPT
88,5,4,HC,0,4,2674,2692,T
89,5,4,HC,0,1,1480,1526,T
